gutenberg_id,text,title
43,The Strange Case Of Dr. Jekyll And Mr. Hyde,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43,by Robert Louis Stevenson,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43,Contents,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43, STORY OF THE DOOR,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43, SEARCH FOR MR. HYDE,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43, DR. JEKYLL WAS QUITE AT EASE,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43, THE CAREW MURDER CASE,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43, INCIDENT OF THE LETTER,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43, INCIDENT OF DR. LANYON,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43, INCIDENT AT THE WINDOW,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43, THE LAST NIGHT,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43, DR. LANYON’S NARRATIVE,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43, HENRY JEKYLL’S FULL STATEMENT OF THE CASE,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43,STORY OF THE DOOR,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43,Mr. Utterson the lawyer was a man of a rugged countenance that was,The Strange Case of Dr. Jekyll and Mr. Hyde
43,"never lighted by a smile; cold, scanty and embarrassed in discourse;",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"backward in sentiment; lean, long, dusty, dreary and yet somehow",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"lovable. At friendly meetings, and when the wine was to his taste,",The Strange Case of Dr. Jekyll and Mr. Hyde
43,something eminently human beaconed from his eye; something indeed which,The Strange Case of Dr. Jekyll and Mr. Hyde
43,"never found its way into his talk, but which spoke not only in these",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"silent symbols of the after-dinner face, but more often and loudly in",The Strange Case of Dr. Jekyll and Mr. Hyde
43,the acts of his life. He was austere with himself; drank gin when he,The Strange Case of Dr. Jekyll and Mr. Hyde
43,"was alone, to mortify a taste for vintages; and though he enjoyed the",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"theatre, had not crossed the doors of one for twenty years. But he had",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"an approved tolerance for others; sometimes wondering, almost with",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"envy, at the high pressure of spirits involved in their misdeeds; and",The Strange Case of Dr. Jekyll and Mr. Hyde
43,in any extremity inclined to help rather than to reprove. “I incline to,The Strange Case of Dr. Jekyll and Mr. Hyde
43,"Cain’s heresy,” he used to say quaintly: “I let my brother go to the",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"devil in his own way.” In this character, it was frequently his fortune",The Strange Case of Dr. Jekyll and Mr. Hyde
43,to be the last reputable acquaintance and the last good influence in,The Strange Case of Dr. Jekyll and Mr. Hyde
43,"the lives of downgoing men. And to such as these, so long as they came",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"about his chambers, he never marked a shade of change in his demeanour.",The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43,No doubt the feat was easy to Mr. Utterson; for he was undemonstrative,The Strange Case of Dr. Jekyll and Mr. Hyde
43,"at the best, and even his friendship seemed to be founded in a similar",The Strange Case of Dr. Jekyll and Mr. Hyde
43,catholicity of good-nature. It is the mark of a modest man to accept,The Strange Case of Dr. Jekyll and Mr. Hyde
43,his friendly circle ready-made from the hands of opportunity; and that,The Strange Case of Dr. Jekyll and Mr. Hyde
43,was the lawyer’s way. His friends were those of his own blood or those,The Strange Case of Dr. Jekyll and Mr. Hyde
43,"whom he had known the longest; his affections, like ivy, were the",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"growth of time, they implied no aptness in the object. Hence, no doubt",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"the bond that united him to Mr. Richard Enfield, his distant kinsman,",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"the well-known man about town. It was a nut to crack for many, what",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"these two could see in each other, or what subject they could find in",The Strange Case of Dr. Jekyll and Mr. Hyde
43,common. It was reported by those who encountered them in their Sunday,The Strange Case of Dr. Jekyll and Mr. Hyde
43,"walks, that they said nothing, looked singularly dull and would hail",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"with obvious relief the appearance of a friend. For all that, the two",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"men put the greatest store by these excursions, counted them the chief",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"jewel of each week, and not only set aside occasions of pleasure, but",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"even resisted the calls of business, that they might enjoy them",The Strange Case of Dr. Jekyll and Mr. Hyde
43,uninterrupted.,The Strange Case of Dr. Jekyll and Mr. Hyde
43,,The Strange Case of Dr. Jekyll and Mr. Hyde
43,It chanced on one of these rambles that their way led them down a,The Strange Case of Dr. Jekyll and Mr. Hyde
43,by-street in a busy quarter of London. The street was small and what is,The Strange Case of Dr. Jekyll and Mr. Hyde
43,"called quiet, but it drove a thriving trade on the weekdays. The",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"inhabitants were all doing well, it seemed and all emulously hoping to",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"do better still, and laying out the surplus of their grains in",The Strange Case of Dr. Jekyll and Mr. Hyde
43,coquetry; so that the shop fronts stood along that thoroughfare with an,The Strange Case of Dr. Jekyll and Mr. Hyde
43,"air of invitation, like rows of smiling saleswomen. Even on Sunday,",The Strange Case of Dr. Jekyll and Mr. Hyde
43,when it veiled its more florid charms and lay comparatively empty of,The Strange Case of Dr. Jekyll and Mr. Hyde
43,"passage, the street shone out in contrast to its dingy neighbourhood,",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"like a fire in a forest; and with its freshly painted shutters,",The Strange Case of Dr. Jekyll and Mr. Hyde
43,"well-polished brasses, and general cleanliness and gaiety of note,",The Strange Case of Dr. Jekyll and Mr. Hyde
43,instantly caught and pleased the eye of the passenger.,The Strange Case of Dr. Jekyll and Mr. Hyde
