"state","LegalStatus","Medicinal","Decriminalized"
"Alabama","Mixed","Yes","No"
"Alaska","Legalized","Yes","Yes"
"Arizona","Legalized","Yes","Yes"
"Arkansas","Mixed","Yes","No"
"California","Legalized","Yes","Yes"
"Colorado","Legalized","Yes","Yes"
"Connecticut","Legalized","Yes","Yes"
"Delaware","Legalized","Yes","Yes"
"District of Columbia","Legalized","Yes","Yes"
"Florida","Mixed","Yes","No"
"Georgia","Mixed","CBD Oil Only","No"
"Hawaii","Mixed","Yes","Yes"
"Idaho","Fully Illegal","No","No"
"Illinois","Legalized","Yes","Yes"
"Indiana","Mixed","CBD Oil Only","No"
"Iowa","Mixed","CBD Oil Only","No"
"Kansas","Fully Illegal","No","No"
"Kentucky","Mixed","CBD Oil Only","No"
"Louisiana","Mixed","Yes","Yes"
"Maine","Legalized","Yes","Yes"
"Maryland","Mixed","Yes","Yes"
"Massachusetts","Legalized","Yes","Yes"
"Michigan","Legalized","Yes","Yes"
"Minnesota","Mixed","Yes","Yes"
"Mississippi","Mixed","Yes","Yes"
"Missouri","Legalized","Yes","Yes"
"Montana","Legalized","Yes","Yes"
"Nebraska","Illegal, but decriminalized","No","Yes"
"Nevada","Legalized","Yes","Yes"
"New Hampshire","Mixed","Yes","Yes"
"New Jersey","Legalized","Yes","Yes"
"New Mexico","Legalized","Yes","Yes"
"New York","Legalized","Yes","Yes"
"North Carolina","Illegal, but decriminalized","No","Yes"
"North Dakota","Mixed","Yes","Yes"
"Ohio","Mixed","Yes","Yes"
"Oklahoma","Mixed","Yes","No"
"Oregon","Legalized","Yes","Yes"
"Pennsylvania","Mixed","Yes","No"
"Rhode Island","Legalized","Yes","Yes"
"South Carolina","Fully Illegal","No","No"
"South Dakota","Mixed","Yes","No"
"Tennessee","Mixed","CBD Oil Only","No"
"Texas","Mixed","CBD Oil Only","No"
"Utah","Mixed","Yes","No"
"Vermont","Legalized","Yes","Yes"
"Virginia","Legalized","Yes","Yes"
"Washington","Legalized","Yes","Yes"
"West Virginia","Mixed","Yes","No"
"Wisconsin","Mixed","CBD Oil Only","No"
"Wyoming","Fully Illegal","No","No"
