state,county,region,metro_status,rural_urban_code,perc_complete_vac,tot_pop,votes_Trump,votes_Biden,perc_Biden,ed_somecol_perc,ed_bachormore_perc,unemployment_rate_2020,median_HHincome_2019
Georgia,Bleckley County,South,Non-metro,6,12.3,12873,4329,1312,22.9852838,28.91351509,18.73646736,6.5,48115
Missouri,Maries County,Midwest,Non-metro,8,35.1,8697,3892,814,17.0614127,30.62823105,15.8389473,4.8,49712
Ohio,Stark County,Midwest,Metro,2,49.2,370606,111097,75904,39.9749314,30.59253311,22.80244446,8.1,55623
Pennsylvania,Sullivan County,Northeast,Non-metro,8,46.6,6066,2619,921,25.6189152,24.65948296,17.19861794,8.5,51718
New Hampshire,Cheshire County,Northeast,Non-metro,4,57.2,76085,17892,25506,57.69805,28.84886551,33.12590408,6.1,65326
Texas,Uvalde County,South,Non-metro,6,48.4,26741,6174,4073,39.383098,28.57228279,17.89725304,6.4,44690
Iowa,Union County,Midwest,Non-metro,6,47.1,12241,4010,2061,33.3225546,36.7223587,17.98791313,5.9,52914
Arkansas,Pike County,South,Non-metro,9,39,10718,3519,644,15.1672162,32.026577,17.2890358,5.9,44426
Florida,Sumter County,South,Metro,3,75.6,132420,62761,29341,31.7251446,29.97834396,31.80080414,7.9,63464
Wisconsin,Dodge County,Midwest,Non-metro,4,47.1,87839,31355,16356,33.7682715,32.89834213,17.00426102,5.3,61730
Oklahoma,Harmon County,South,Non-metro,9,44.6,2653,747,177,18.9710611,33.87776566,20.706007,3.5,37988
Colorado,Custer County,West,Non-metro,8,43.9,5068,2474,1112,30.5998899,40.32004166,32.52885437,5,57381
Kansas,Stafford County,Midwest,Non-metro,9,41.4,4156,1631,355,17.6003966,36.10533524,25.22522545,3.7,51007
Michigan,Gogebic County,Midwest,Non-metro,7,61.6,13975,4600,3570,43.1889669,36.94841766,19.436496730000002,7.7,39030
North Carolina,Chatham County,South,Metro,2,51,74470,21186,26787,55.1184181,25.37399292,42.36405182,5.4,70258
South Dakota,Turner County,Midwest,Metro,3,47.8,8384,3290,1139,25.0439754,34.58153534,23.74460793,3.9,63852
Georgia,Liberty County,South,Metro,3,42.1,61435,7959,13104,61.250818,40.87375259,18.27502632,6.2,51410
Texas,Upton County,South,Non-metro,8,36.5,3657,1178,170,12.4269006,24.73250961,9.629630089,5.6,58908
Missouri,Warren County,Midwest,Metro,1,38.4,35649,13222,4769,25.9537415,31.95191193,19.12119484,5.8,63726
Texas,Kerr County,South,Non-metro,4,46.6,52600,20879,6524,23.5141467,34.06015015,27.35926819,5.9,57789
Arkansas,Montgomery County,South,Non-metro,8,34,8986,3046,731,18.8742577,29.93868637,13.48885918,6.8,39591
Kansas,McPherson County,Midwest,Non-metro,7,50.9,28542,9562,3977,28.677531,35.39285278,27.98373032,3.5,65834
Georgia,Sumter County,South,Non-metro,6,39.4,29524,5733,6314,51.9756338,28.52639961,18.25059128,7.4,40250
Missouri,Carroll County,Midwest,Non-metro,6,45.7,8679,3706,786,17.3433363,24.85380173,16.71539879,6,50628
Virginia,Portsmouth city,South,Metro,1,83.8,94398,12755,30948,69.4181508,36.29460907,21.89121246,9.6,50411
Wyoming,Goshen County,West,Non-metro,7,35.2,13211,4878,1203,19.2757571,38.11654282,25.85490608,4.3,55540
Kentucky,Boyd County,South,Metro,2,40.1,46718,14295,7083,32.56402,34.96144867,19.38784409,8.3,50017
Michigan,Mason County,Midwest,Non-metro,7,56.3,29144,10207,6802,39.4227426,34.56390381,23.06483078,9.2,49869
Montana,Big Horn County,West,Non-metro,6,74.9,13319,2207,2491,52.069398,36.23207474,18.0765686,7.3,43718
Oklahoma,Bryan County,South,Non-metro,6,38.2,47995,12344,3323,20.7999499,31.78174782,21.86061478,5.1,44074
Nebraska,Pawnee County,Midwest,Non-metro,9,40.8,2613,1071,322,22.53324,29.95846367,17.08203506,2.8,47006
Pennsylvania,Monroe County,Northeast,Metro,3,56.1,170271,38726,44060,52.5593768,29.85394859,24.66404724,11.5,63012
Pennsylvania,Carbon County,Northeast,Metro,2,58.5,64182,21984,11212,33.3402718,26.17657661,17.89330673,9.8,59985
North Carolina,Wayne County,South,Metro,3,45.8,123131,30709,24215,43.6015629,34.97291183,19.02721214,6.5,45634
South Carolina,Saluda County,South,Metro,2,28.1,20473,6210,2963,31.9495363,26.24098587,16.79619217,4.3,49493
New York,Queens County,Northeast,Metro,1,74.6,2253858,212665,569038,72.2257762,22.31408119,32.16611862,12.5,72975
New York,Richmond County,Northeast,Metro,1,63.8,476143,123320,90997,42.098421,24.50425148,33.86428833,10.6,86624
Wisconsin,Marquette County,Midwest,Non-metro,8,49.1,15574,5719,3239,35.7308329,33.05092239,15.1279583,6.7,56790
Mississippi,Clay County,South,Non-metro,7,41.8,19316,4181,5844,57.260435,26.97358513,20.40740204,11.6,33653
Alabama,Dale County,South,Non-metro,4,48,49172,14303,5170,26.19313,35.69488907,18.13841057,4.9,45120
Montana,Toole County,West,Non-metro,7,41.8,4736,1596,467,21.9971738,33.51924133,15.22587872,5,49448
Wisconsin,Walworth County,Midwest,Non-metro,4,48.9,103868,33851,22789,39.5642361,30.76346779,28.78943634,6.1,64682
Mississippi,Covington County,South,Non-metro,8,45.7,18636,5854,3416,36.4528866,31.87439728,14.74461937,6.9,42076
Wyoming,Sheridan County,West,Non-metro,7,45.8,30485,11843,4043,24.6104212,38.73406982,30.9573822,4.9,64030
South Dakota,Brookings County,Midwest,Non-metro,5,45.4,35077,8000,6110,41.9441203,29.48558426,40.33645248,4.4,59036
Georgia,Walton County,South,Metro,1,23.7,94593,37839,12683,24.8233613,29.14128113,21.73320389,5.4,67007
Arkansas,Johnson County,South,Non-metro,7,44.7,26578,6938,2283,24.0366393,22.85747147,15.37799168,6.3,40396
Vermont,Caledonia County,Northeast,Non-metro,7,32.6,29993,6551,9011,55.7301008,26.99016571,29.02672195,5.8,50942
Georgia,Irwin County,South,Non-metro,7,14.5,9416,3134,1008,24.184261,26.14620018,15.11702442,5.5,42317
Tennessee,Wayne County,South,Non-metro,8,37.8,16673,5795,820,12.2956965,23.83612633,9.732005119,7.1,45091
Texas,Collin County,South,Metro,1,60.3,1034730,252318,230945,46.9194419,26.47087479,52.34816742,6.3,96847
Minnesota,Pine County,Midwest,Non-metro,6,44.2,29579,10256,5419,33.8666333,34.86311722,14.86499119,8.6,55684
Kentucky,Bourbon County,South,Metro,2,51,19788,6190,3296,34.1625207,28.8975811,19.43100929,5.9,47046
Alabama,Bibb County,South,Metro,1,31.3,22394,7525,1986,20.6982804,23.80009842,10.37852573,6.6,47918
Montana,Powder River County,West,Non-metro,9,20,1682,970,154,13.556338,39.95057678,24.38220787,3.1,47843
North Carolina,Burke County,South,Metro,2,42.5,90485,31019,13118,29.4112372,33.78258133,16.43820953,7.2,47890
Texas,Rains County,South,Non-metro,8,32.9,12514,5155,842,13.9104576,31.09686279,13.72795963,4.7,65657
Indiana,Henry County,Midwest,Non-metro,4,48.3,47972,15043,5544,26.3623395,29.11937523,16.4484024,6.6,49293
Iowa,Floyd County,Midwest,Non-metro,7,49,15642,4732,3172,39.4920319,34.90470505,19.77718353,6,55369
